feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pseudomonas.muyukensis	Group	Vespertilio murinus	-3.42131302209287	1.49883203632979	10	9	0.051856166275635	0.19309028079991
Pseudomonas.sp..GM17	Group	Vespertilio murinus	-3.39255413346766	1.48757080895303	10	6	0.0520225736855755	0.19309028079991
Klebsiella.sp..WP7.S18.ESBL.04	Group	Vespertilio murinus	-4.21991858857048	1.84858775803858	10	6	0.0518458900535819	0.19309028079991
Bartonella.sp..WD16.2	Group	Vespertilio murinus	-2.18031427820754	0.956649111361049	10	7	0.0521432234196608	0.193112115626112
Halomonas.sp..HL.93	Group	Vespertilio murinus	-2.2721957032944	0.996986649825645	10	6	0.0521475096506912	0.193112115626112
Cyvirus.cyprinidallo3	Group	Vespertilio murinus	-3.66728660959864	1.60895660143842	10	4	0.0521286619529743	0.193112115626112
uncultured.Gellertiella.sp.	Group	Vespertilio murinus	-3.25425166607526	1.42807596461748	10	8	0.0521716747370916	0.193144561419661
Borreliella.valaisiana	Group	Vespertilio murinus	-2.62499054790435	1.15223053250358	10	8	0.0522193152833853	0.193149850837277
Synechococcus.sp..MIT.S9220	Group	Vespertilio murinus	-2.09949211005427	0.9214253160661	10	5	0.0521912122805242	0.193149850837277
Micromonospora.zamorensis	Group	Vespertilio murinus	-2.33538986334377	1.02506829586301	10	9	0.0522115236320034	0.193149850837277
Arthrobacter.agilis	Group	Vespertilio murinus	-1.86837595359998	0.820267999721409	10	9	0.0522534699624915	0.193162222835991
Enterococcus.sp..ZQ21	Group	Vespertilio murinus	-2.72537321752325	1.19645877689049	10	5	0.0522450248856886	0.193162222835991
Mesorhizobium.sp..113.1.2	Group	Vespertilio murinus	-3.56909065210549	1.56724170259672	10	8	0.0522906516414084	0.193242699950374
Anoxybacillus.sp..PDR2	Group	Vespertilio murinus	-2.21031169315594	0.970783465969324	10	6	0.052329371860868	0.193325738116764
Natrinema.marinum	Group	Vespertilio murinus	-2.28974492858988	1.00574993779929	10	8	0.0523439573256571	0.193325738116764
