#Classification	D1	D2	D3	D4	D5	P1	P2	P3	P4	P5
Defluviitoga tunisiensis	12	7	1	0	19	44	7	6	2	25
Oceanotoga sp. DSM 15011	28	1	3	0	15	137	1308	36	1037	73
Marinitoga okinawensis	0	0	0	0	0	5	1	0	0	2
Marinitoga piezophila	0	0	0	0	3	10	0	0	1	3
Marinitoga sp. 1137	14	56	0	0	1	387	73	1	512	364
Marinitoga aeolica	32	17	2	0	40	169	1220	18	1107	52
Tepiditoga spiralis	76	6	0	0	23	119	499	31	279	99
unidentified bacterial endosymbiont	325	1032	324	2	1608	2340	8417	6	11812	19068
Chloracidobacterium sp. D	0	0	0	0	0	1	0	0	3	2
Chloracidobacterium validum	1	0	0	0	1	15	3	3	5	9
Chloracidobacterium thermophilum	3	0	0	0	0	7	0	0	3	6
Chloracidobacterium aggregatum	8	3	7	0	5	57	3	5	8	31
Luteitalea pratensis	12	4	2	0	4	121	7	15	15	66
Luteitalea sp. TBR-22	29	8	12	0	15	228	11	54	28	243
Thermotomaculum hydrothermale	5	0	1	1	9	30	4	8	4	14
Sulfidibacter corallicola	23	4	16	0	18	70	12	118	15	75
uncultured Holophaga sp.	10	4	0	0	6	100	2	10	13	34
Mesoterricola silvestris	17	1	5	0	9	199	7	17	12	93
Mesoterricola sediminis	19	6	2	0	18	170	12	22	8	92
Geothrix oryzae	13	4	1	0	13	153	7	16	5	68
Geothrix sp. 21YS21S-4	7	0	0	0	5	45	6	13	7	38
Geothrix sp. PMB-07	12	1	4	0	11	41	1	2	10	25
Geothrix sp.	12	1	5	0	4	102	6	9	13	80
Geothrix sp. 21YS21S-2	23	9	0	0	20	222	56	16	60	372
uncultured Paludibaculum sp.	7	5	1	0	30	143	11	12	127	147
Paludibaculum fermentans	22	3	15	0	21	92	16	113	49	77
Acidisarcina polymorpha	2	1	0	0	2	34	3	5	3	18
Occallatibacter riparius	4	71	0	1	231	387	72	1	1779	1961
Terriglobus saanensis	0	0	0	0	5	27	4	2	3	16
Terriglobus roseus	2	2	0	0	5	28	2	3	15	31
Terriglobus albidus	3	2	2	1	6	85	3	10	11	52
Granulicella sp. 5B5	0	0	0	0	3	19	1	3	5	15
Granulicella tundricola	0	2	0	0	5	51	6	7	14	42
Granulicella sp. WH15	2	1	1	0	4	32	3	1	12	19
Granulicella mallensis	7	6	0	0	8	41	444	2	34	15
Candidatus Koribacter versatilis	9	2	11	0	5	16	8	0	2	21
Acidobacterium capsulatum	9	2	1	0	4	65	6	8	8	58
Alloacidobacterium dinghuense	12	1	6	0	10	13	4	1	11	26
Edaphobacter flagellatus	5	7	0	0	13	12	4	0	43	62
Edaphobacter sp. 4G125	3	1	0	0	4	14	39	1	1	5
Edaphobacter sp. 12200R-103	6	1	2	0	3	35	4	3	4	13
Edaphobacter lichenicola	78	8	8	0	12	33	3	5	3	35
Syntrophus aciditrophicus	0	0	0	0	2	21	8	0	5	13
Desulfomonile tiedjei	2	9	1	0	21	31	7	2	41	229
Candidatus Desulfofervidus auxilii	2	0	1	1	4	28	6	6	5	19
Desulfoglaeba alkanexedens	2	0	0	0	0	9	5	2	1	12
Syntrophobacter fumaroxidans	3	3	2	0	2	51	3	3	4	23
Desulfobacca acetoxidans	8	2	0	0	20	16	1	3	1	8
Thermodesulfatator indicus	3	0	1	0	3	16	2	0	4	10
Thermosulfurimonas marina	1	0	0	0	9	14	1	1	9	14
Caldimicrobium thiodismutans	1	5	0	0	61	35	12	2	114	42
Thermosulfuriphilus ammonigenes	2	0	0	0	2	19	5	2	0	14
Thermodesulfobacterium sp. TA1	2	2	0	0	0	35	0	1	1	21
Thermodesulfobacterium commune	3	0	0	0	3	19	0	2	2	12
Thermodesulfobacterium geofontis	9	1	0	0	13	21	3	3	3	11
Desulfarculus baarsii	27	27	16	0	55	86	25	12	62	380
Desulfopila sp. IMCC35008	0	1	0	0	5	25	2	1	4	12
Desulfocapsa sulfexigens	1	0	1	0	2	41	6	1	5	17
Desulfotalea psychrophila	2	0	0	0	2	37	0	2	2	11
Desulfosediminicola flagellatus	1	2	0	0	5	54	4	1	6	38
Desulfosediminicola ganghwensis	2	1	1	0	8	46	6	8	1	29
Desulfofustis limnaeus	3	0	0	0	4	22	4	3	3	23
Desulfolithobacter dissulfuricans	4	0	0	0	1	18	2	1	6	19
Desulfurivibrio alkaliphilus	4	0	1	0	5	32	0	2	10	30
Desulfogranum marinum	5	0	0	0	3	38	3	8	13	22
Desulfomarina profundi	6	3	1	0	3	32	9	3	6	22
Desulfobulbus oligotrophicus	1	0	0	0	0	15	6	3	2	9
Desulfobulbus propionicus	1	0	3	0	1	27	4	0	6	28
Desulfobulbus oralis	2	1	0	0	4	69	2	7	3	28
uncultured Desulfobulbus sp.	4	5	3	0	8	72	552	2	44	58
Desulfoluna limicola	1	2	2	0	3	48	21	1	2	41
Desulfosudis oleivorans	3	0	14	0	10	36	2	3	5	17
Desulfatibacillum aliphaticivorans	4	1	0	0	6	24	2	1	4	15
Desulfococcus multivorans	3	0	0	0	12	35	4	4	6	14
Desulfonema magnum	14	1	3	0	5	64	14	6	9	42
Desulfonema limicola	17	5	1	0	37	134	834	16	852	39
Desulfosarcina sp. BuS5	3	3	0	0	2	32	2	3	7	11
Desulfosarcina widdelii	6	7	0	0	7	93	6	10	9	54
uncultured Desulfosarcina sp.	6	6	1	0	64	66	323	3	37	69
Desulfosarcina alkanivorans	11	4	0	0	10	76	6	9	11	66
Desulfosarcina ovata	11	2	4	1	27	66	6	13	10	42
Desulforapulum autotrophicum	2	36	0	0	90	143	330	2	694	435
Desulfobacula toluolica	12	3	1	0	4	80	11	13	3	33
Desulfobacter postgatei	2	6	0	0	2	24	503	2	26	29
Desulfobacter hydrogenophilus	2	0	0	0	3	19	15	0	7	46
uncultured Desulfobacter sp.	29	32	0	1	92	377	66	45	490	867
Syntrophotalea acetylenica	0	0	0	0	1	3	4	1	3	11
Syntrophotalea acetylenivorans	1	2	0	0	4	34	4	1	12	92
Syntrophotalea carbinolica	1	0	0	0	3	25	3	2	14	19
Geoalkalibacter subterraneus	0	1	1	0	1	24	3	0	1	4
Geoalkalibacter halelectricus	4	0	0	0	5	169	20	12	162	108
uncultured Desulfuromusa sp.	4	1	0	0	2	33	5	1	5	34
Pelobacter propionicus	2	0	1	0	3	22	5	3	2	19
Desulfuromonas sp. DDH964	1	0	2	0	4	22	9	2	9	17
Desulfuromonas sp. AOP6	1	0	1	0	7	23	0	0	14	21
Desulfuromonas versatilis	7	1	2	0	11	70	5	10	22	60
Desulfuromonas soudanensis	9	4	0	0	2	51	243	11	11	32
uncultured Desulfuromonas sp.	10	2	12	0	12	76	15	3	21	65
Desulfuromonas acetoxidans	10	0	9	0	2	15	1	2	0	15
Desulfuromonas thiophila	25	0	26	0	11	49	2	2	4	28
Citrifermentans bremense	3	2	0	0	4	34	1	4	6	12
Citrifermentans bemidjiense	4	0	0	0	8	27	4	3	13	23
Trichlorobacter ammonificans	3	0	0	0	4	22	4	3	3	16
Trichlorobacter lovleyi	6	0	2	0	3	49	6	4	7	22
Geotalea daltonii	1	2	2	0	2	18	2	6	8	17
Geotalea uraniireducens	14	2	0	0	10	58	179	8	140	36
Geomonas oryzisoli	2	0	0	0	2	31	4	4	14	31
Geomonas sp. RF6	3	1	1	0	0	27	5	22	6	12
Geomonas nitrogeniifigens	7	1	2	0	3	39	4	9	7	16
Geomonas paludis	11	1	11	0	3	33	8	0	2	22
Geomonas subterranea	12	2	1	0	6	41	3	3	8	39
Geobacter metallireducens	5	0	0	0	4	31	2	7	3	22
