Gene Family	D1	D2	D3	D5	P1	P2	P3	P4	P5
UniRef90_A0A376HXZ0	0.0	0.0	0.0	0.0	0.0	1.1668611435	0.0	1.1668611435	0.0
UniRef90_A0A376HY90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2706480305	0.0
UniRef90_A0A376HYV2	0.0	1.6306587782	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376HYX8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4207994907	0.0
UniRef90_A0A376HYY7	0.0	0.0	1.0537407798	1.0537407798	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376HZB4	0.0	0.0	0.0	1.3037809648	0.0	0.0	0.0	0.0	1.3037809648
UniRef90_A0A376HZJ2	0.0	0.7374631268	0.0	0.7468259895	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376HZR6	0.0	0.0	0.0	0.0	0.968054211	0.0	0.0	0.0	0.0
UniRef90_A0A376I041	0.0	0.0	0.0	0.0	0.0	0.7668711656	0.0	0.0	0.0
UniRef90_A0A376I076	0.0	0.6644518272	0.0	0.6644518272	0.6644518272	0.6644518272	0.0	0.6644518272	0.6644518272
UniRef90_A0A376I0I7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1299435028	0.0
UniRef90_A0A376I0K4	0.0	0.0	0.0	0.0	0.4417755385	0.0	0.0	0.0	0.0
UniRef90_A0A376I0L0	0.0	1.4471780029	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I0U0	0.0	0.0	0.0	0.0	2.0554984584	0.0	0.0	0.0	0.0
UniRef90_A0A376I0W2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1695906433	0.0
UniRef90_A0A376I0Y7	0.0	0.0	0.0	0.0	1.3140604468	0.0	0.0	1.3140604468	0.0
UniRef90_A0A376I100	0.0	0.0	0.0	0.0	0.0	0.6982276551	0.0	0.0	0.0
UniRef90_A0A376I106	0.0	0.0	0.0	1.0989010989	0.9871668312	0.0	0.0	0.0	1.0989010989
UniRef90_A0A376I141	0.0	0.0	0.0	0.0	0.8802816901	0.0	0.0	0.0	0.9132420091
UniRef90_A0A376I148	0.0	0.0	0.0	0.3308587865	0.0	0.0	0.0	0.6553079948	0.0
UniRef90_A0A376I1R3	0.0	0.0	0.0	0.0	0.9276437848	0.0	0.0	0.0	0.0
UniRef90_A0A376I1S3	0.0	0.0	0.0	0.6406149904	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I1W3	0.0	0.4642525534	0.0	0.2318419446	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I2F1	0.0	1.1447625256	0.0	0.8888888889	0.8888888889	0.8888888889	0.0	0.8888888889	0.0
UniRef90_A0A376I2L8	0.0	0.0	0.0	0.0	0.0	1.3245033113	0.0	0.0	0.0
UniRef90_A0A376I2P2	0.0	0.0	0.0	0.0	1.6992353441	0.0	0.0	0.849617672	0.0
UniRef90_A0A376I2V1	0.0	0.0	0.0	0.0	0.0	1.4265335235	0.0	0.0	0.0
UniRef90_A0A376I2Z6	0.0	0.0	0.0	0.0	1.3386880857	0.0	0.0	0.0	0.0
UniRef90_A0A376I311	0.0	0.3385858144	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I330	0.0	0.0	0.0	0.0	0.0	1.0810810811	0.0	0.0	0.0
UniRef90_A0A376I350	0.0	0.3996910123	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I3A1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4030493002
UniRef90_A0A376I3E0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9940179462
UniRef90_A0A376I3K4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9372071228	0.9372071228
UniRef90_A0A376I441	0.0	0.9319664492	0.0	0.0	0.0	0.0	0.0	0.0	0.9319664492
UniRef90_A0A376I460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9551098376	0.0
UniRef90_A0A376I4C8	0.0	0.0	0.0	0.0	0.9250693802	0.0	0.0	0.0	0.0
UniRef90_A0A376I4S8	0.0	2.1208907741	0.0	0.0	1.0604453871	1.0604453871	0.0	0.0	1.0604453871
UniRef90_A0A376I4Z6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6230529595	0.0
UniRef90_A0A376I5E2	0.0	0.9871668312	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I5G1	0.0	0.0	0.0	0.0	0.7710100231	0.7716049383	0.0	0.0	0.7716049383
UniRef90_A0A376I5W8	0.0	1.6038492382	0.0	0.0	0.8019246191	0.0	0.0	0.0	0.0
UniRef90_A0A376I5X4	0.0	0.0	0.0	1.1376564278	1.1376564278	0.0	0.0	0.0	0.0
UniRef90_A0A376I609	0.0	0.0	0.0	1.0090817356	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I6B9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3458950202	0.0
UniRef90_A0A376I6L9	0.0	0.0	0.0	1.4224751067	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I7C4	0.0	0.9534675642	0.0	0.0	0.0	0.9534675642	0.0	0.0	0.0
UniRef90_A0A376I7D1	0.0	0.6071645416	0.0	0.0	0.6071645416	0.0	0.0	0.0	0.6071645416
UniRef90_A0A376I7E3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4920501842
UniRef90_A0A376I7T5	0.0	0.3972983711	0.0	0.3972983711	0.7698766125	0.3972983711	0.0	0.3972983711	0.3972983711
UniRef90_A0A376I811	0.0	0.0	0.0	0.6123698714	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I875	0.0	0.5778652053	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376I8C3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2578616352
UniRef90_A0A376I8J2	0.0	0.0	0.0	1.2091898428	0.0	0.0	0.0	1.2091898428	0.0
UniRef90_A0A376I946	0.0	1.0515247108	0.0	0.0	1.0515247108	0.0	0.0	0.0	0.0
UniRef90_A0A376I972	0.0	1.0235414534	0.0	0.0	0.0	1.0235414534	0.0	0.0	0.0
UniRef90_A0A376IAU7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.325665738	0.0
UniRef90_A0A376IRB9	0.0	0.0	0.0	0.0	0.0	0.7806401249	0.0	0.0	0.0
UniRef90_A0A376IVK3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7446016381	0.0
UniRef90_A0A376JDW9	0.0	0.0	0.0	0.0785915693	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376JKH8	0.0	0.1419105489	0.0	0.0	0.0770039741	0.0942464134	0.0	0.141144953	0.0
UniRef90_A0A376KBF5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1272943532	0.0
UniRef90_A0A376KHK7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3064096961
UniRef90_A0A376KKM9	0.0	1.4084507042	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376KUK9	0.0	0.0	0.0	0.0	0.2141208541	0.0	0.0	0.0	0.0
UniRef90_A0A376KVB6	0.0	0.0	0.0	0.0841326873	0.0	0.0	0.0	0.1018701343	0.0
UniRef90_A0A376KXY5	0.0	0.34116922	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376L4I7	0.0	0.0	0.0	0.0	0.612745098	0.0	0.0	0.0	0.0
UniRef90_A0A376L590	0.4623385876	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376L6M1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1759345393
UniRef90_A0A376L7I4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.087678371	0.0
UniRef90_A0A376L9J5	0.0	0.8058388396	0.0	0.1543101288	1.3367164661	1.4318192576	0.0	1.5201828869	0.5440696409
UniRef90_A0A376LAS5	0.0	0.0	0.0	0.0	0.4005950056	0.0	0.0	0.243055303	0.0
UniRef90_A0A376LCA9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4754048358	0.0
UniRef90_A0A376LER2	0.0	0.0	0.0	0.0	0.0	0.4983794258	0.0	0.0	0.0
UniRef90_A0A376MF90	0.0	0.0	0.0	0.0	0.8920606601	0.8920606601	0.0	0.8920606601	0.0
UniRef90_A0A376MST8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5455950541
UniRef90_A0A376MTC8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3293352599	0.0
UniRef90_A0A376MVX3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1447077762	0.0
UniRef90_A0A376MW02	0.0	0.0	0.0	0.0	0.1079287702	0.1312086787	0.0	0.0	0.0
UniRef90_A0A376MWR1	0.0	0.0	0.0	0.0	0.2072968491	0.0	0.0	0.0	0.0
UniRef90_A0A376NCR9	0.0	0.0	0.0	0.1337900064	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376NDT1	0.0	0.0	0.0	0.0	0.5208488646	0.0	0.0	0.0	0.0
UniRef90_A0A376NE06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3289040696
UniRef90_A0A376NKE4	0.0	0.0	0.0	0.0	0.0	1.2239902081	0.0	0.0	0.0
UniRef90_A0A376NKS4	0.0	0.0	0.0	0.0	0.0900703778	0.0	0.0	0.0	0.0
UniRef90_A0A376NM09	0.0	0.0	0.0	0.0	0.172341008	0.0	0.0	0.0	0.0
UniRef90_A0A376NQE2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3099371597
UniRef90_A0A376NSP1	0.0	0.3721602277	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376P7T7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3357947387	0.0
UniRef90_A0A376PI88	0.0	0.6329113924	0.6357279085	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376PJ58	0.0	0.0	0.0	0.9643201543	0.9643201543	0.0	0.0	0.9643201543	0.0
UniRef90_A0A376QNG9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.226993865	1.226993865
UniRef90_A0A376QNU6	0.0	0.0	0.0	0.0	0.8136696501	0.0	0.0	0.0	0.0
UniRef90_A0A376QP23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.126352992	0.0
UniRef90_A0A376QP94	0.0	1.321003963	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UniRef90_A0A376QPF4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0193679918	0.0
UniRef90_A0A376QPI1	0.0	1.7873100983	0.0	0.0	0.8936550492	1.7873100983	0.0	0.0	0.0
UniRef90_A0A376QPR7	0.0	0.7558578987	0.0	0.0	0.0	0.0	0.0	0.7558578987	0.0
UniRef90_A0A376QPZ6	0.0	0.8680555556	0.0	0.0	1.3439792141	0.0	0.0	0.0	0.8936550492
UniRef90_A0A376QQB2	0.0	0.0	0.0	0.0	0.5849161728	0.0	0.0	0.0	0.0
UniRef90_A0A376QQC0	0.0	0.0	0.0	0.0	0.4755111745	0.2148602138	0.0	0.4755111745	0.4755111745
UniRef90_A0A376QQD7	0.0	0.9478672986	0.0	0.0	0.0	0.0	0.0	0.9478672986	0.0
UniRef90_A0A376QQH8	0.0	0.0	0.0	0.0	0.0	1.1668611435	0.0	0.0	0.0
UniRef90_A0A376QQI3	0.0	0.0	0.0	0.0	1.9342359768	0.0	0.0	0.9432165196	0.0
