# Pathway	D1_Abundance	D2_Abundance	D3_Abundance	D5_Abundance	P1_Abundance	P2_Abundance	P3_Abundance	P4_Abundance	P5_Abundance
PWY-5659: GDP-mannose biosynthesis|unclassified	0	0	0	0.8824178248	0.9112351520	1.0992222743	0	0	0
PWY-5675: nitrate reduction V (assimilatory)	0	0	0	0	1.8695243994	1.1645273608	0	0	0
PWY-5675: nitrate reduction V (assimilatory)|unclassified	0	0	0	0	1.8695243994	1.1645273608	0	0	0
PWY-5695: inosine 5'-phosphate degradation	0	0	0	0	0.8022681530	0	0	0	0.3681826923
PWY-5695: inosine 5'-phosphate degradation|unclassified	0	0	0	0	0.8022681530	0	0	0	0.3681826923
PWY-5941: glycogen degradation II	0	0.9449916830	0	0	0	2.8025610439	0	1.6351151052	0
PWY-5941: glycogen degradation II|unclassified	0	0.9449916830	0	0	0	2.8025610439	0	1.6351151052	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	0	0	0	0	0	0	0	1.5597818417	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	0	0	0	0	0	0	0	1.5597818417	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	0	0	0	0	0	0	0	1.8243377232	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	0	0	0	0	0	0	0	1.8243377232	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	0	0	0	0	0	0	0	1.8243377232	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	0	0	0	0	0	0	0	1.8243377232	0
PWY-6305: superpathway of putrescine biosynthesis	0	1.5040430064	0	0	0	2.8066585606	0	2.3083399615	0
PWY-6305: superpathway of putrescine biosynthesis|unclassified	0	1.5040430064	0	0	0	2.8066585606	0	2.3083399615	0
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	0	0	0	0	1.2285012285	0	0	0	0
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)|unclassified	0	0	0	0	1.2285012285	0	0	0	0
PWY-6317: D-galactose degradation I (Leloir pathway)	0	0	0	0	0.9181682543	0.9575061334	0	1.6686434594	0
PWY-6317: D-galactose degradation I (Leloir pathway)|unclassified	0	0	0	0	0.9181682543	0.9575061334	0	1.6686434594	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)	0	0	0	0	0	1.0366666587	0	0	0
PWY-6385: peptidoglycan biosynthesis III (mycobacteria)|unclassified	0	0	0	0	0	1.0366666587	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	0	0	0	0	0	1.0362105213	0	0	0
PWY-6386: UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)|unclassified	0	0	0	0	0	1.0362105213	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	0	0	0	0	0	1.3539123996	0	0	0
PWY-6387: UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)|unclassified	0	0	0	0	0	1.3539123996	0	0	0
PWY-6527: stachyose degradation	0	1.0395165651	0	0	1.1137392509	0.9605587336	0	1.3655763228	0
PWY-6527: stachyose degradation|unclassified	0	1.0395165651	0	0	1.1137392509	0.9605587336	0	1.3655763228	0
PWY-6606: guanosine nucleotides degradation II	0	0	0	0	0	0	0	0.6608766668	0
PWY-6606: guanosine nucleotides degradation II|unclassified	0	0	0	0	0	0	0	0.6608766668	0
PWY-6608: guanosine nucleotides degradation III	0	0	0	0	0	0	0	0.6608766668	0
PWY-6608: guanosine nucleotides degradation III|unclassified	0	0	0	0	0	0	0	0.6608766668	0
PWY-6731: starch degradation III	0	0	0	0	0	1.5320443425	0	0	0
PWY-6731: starch degradation III|unclassified	0	0	0	0	0	1.5320443425	0	0	0
PWY-6803: phosphatidylcholine acyl editing	0	0	0	0.8137369100	0	0	0	0	0
PWY-6803: phosphatidylcholine acyl editing|unclassified	0	0	0	0.8137369100	0	0	0	0	0
PWY-6859: all-trans-farnesol biosynthesis	0	0	0	0	0.6102553962	0	0	0	0
PWY-6859: all-trans-farnesol biosynthesis|unclassified	0	0	0	0	0.6102553962	0	0	0	0
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I	0	0	0	0	0	1.3712401059	0	0	0.8993119144
PWY-6892: thiazole component of thiamine diphosphate biosynthesis I|unclassified	0	0	0	0	0	1.3712401059	0	0	0.8993119144
PWY-6902: chitin degradation II (Vibrio)	0	0	0	0	0.5013926685	0	0	0	2.2025470580
PWY-6902: chitin degradation II (Vibrio)|unclassified	0	0	0	0	0.5013926685	0	0	0	2.2025470580
PWY-7013: (S)-propane-1,2-diol degradation	0	0	0	0.6913238852	0.9501436992	0	0	0	2.4035695636
PWY-7013: (S)-propane-1,2-diol degradation|unclassified	0	0	0	0.6913238852	0.9501436992	0	0	0	2.4035695636
PWY-7111: pyruvate fermentation to isobutanol (engineered)	0	0	0	0	0	0	0	0	1.5049846719
PWY-7111: pyruvate fermentation to isobutanol (engineered)|unclassified	0	0	0	0	0	0	0	0	1.5049846719
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type	0	0	0	0	0	0	0	1.1941988178	0
PWY-7117: C4 photosynthetic carbon assimilation cycle, PEPCK type|unclassified	0	0	0	0	0	0	0	1.1941988178	0
PWY-7118: chitin deacetylation	0	1.3181802705	0	0	0	1.0179148170	0	1.1055652954	1.1687267476
PWY-7118: chitin deacetylation|unclassified	0	1.3181802705	0	0	0	1.0179148170	0	1.1055652954	1.1687267476
PWY-7185: UTP and CTP dephosphorylation I	0	2.1006634890	0	0	1.4119583996	0	0	0.8529744171	0.8231890301
PWY-7185: UTP and CTP dephosphorylation I|unclassified	0	2.1006634890	0	0	1.4119583996	0	0	0.8529744171	0.8231890301
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	0.8264484694	0.8751572052	0	2.2118529087	0.4920164041	1.6686041024	0	1.8532508402	0
